nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
"Prov. Sumatera Utara",1206,"Kab. Toba Samosir","2.50027,99.0042",2004,68.862228,96.62702,9.6805536,630.2456,73.828944
"Prov. Sumatera Utara",1207,"Kab. Labuhan Batu","2.14783,99.9218",2004,66.1,97.94073,8.1099518,619.14099,70.567488
"Prov. Sumatera Utara",1208,"Kab. Asahan","2.98305,99.531",2004,67.7,93.989952,7.068759,617.28095,69.66389
"Prov. Sumatera Utara",1209,"Kab. Simalungun","2.95304,99.2713",2004,67.5,95.765969,8.4,611.13042,70.459765
"Prov. Sumatera Utara",1210,"Kab. Dairi","2.82712,98.2783",2004,66.2,95.685743,8.1008413,616.50328,69.911998
"Prov. Sumatera Utara",1211,"Kab. Karo","3.09635,98.2514",2004,70.1,96.608139,8.7893091,609.9457,72.288474
"Prov. Sumatera Utara",1212,"Kab. Deli Serdang","3.46231,98.888",2004,68,96.816629,8.5832251,617.66014,71.609743
"Prov. Sumatera Utara",1213,"Kab. Langkat","3.766,98.2307",2004,68.220856,96.46705,8.5,606.31773,70.719379
"Prov. Sumatera Utara",1214,"Kab. Nias Selatan","0.786682,97.7166",2004,67.35,84.4,5.9,574.1,63.146278
"Prov. Sumatera Utara",1215,"Kab. Humbang Hasundutan","2.23062,98.5734",2004,66.2,97.65,8.5,597.2,69.143454
"Prov. Sumatera Utara",1216,"Kab. Pakpak Bharat","2.55478,98.2762",2004,66,95.15,8,599.35,68.285783
"Prov. Sumatera Utara",1217,"Kab. Samosir","2.50894,98.6264",2004,67.9,96.4,9.4,612.45,71.665274
"Prov. Sumatera Utara",1218,"Kab. Serdang Bedagai","3.34975,99.0295",2004,67.2,96,8.5,606.4,69.990118
"Prov. Sumatera Utara",1219,"Kab. Batu Bara","3.23175,99.5003",2004,,,,,
"Prov. Sumatera Utara",1220,"Kab. Padang Lawas Utara","1.61899,99.6822",2004,,,,,
"Prov. Sumatera Utara",1221,"Kab. Padang Lawas","1.2403,99.9102",2004,,,,,
"Prov. Sumatera Utara",1222,"Kab. Labuhan Batu Selatan","1.8468,100.077",2004,,,,,
"Prov. Sumatera Utara",1223,"Kab. Labuhan Batu Utara","2.42728,99.7271",2004,,,,,
"Prov. Sumatera Utara",1224,"Kab. Nias Utara","1.30584,97.3029",2004,,,,,
"Prov. Sumatera Utara",1225,"Kab. Nias Barat","1.01902,97.5242",2004,,,,,
"Prov. Sumatera Utara",1271,"Kota Sibolga","1.72715,98.7986",2004,69,99.159664,9.4,612.73222,72.911383
"Prov. Sumatera Utara",1272,"Kota Tanjung Balai","2.94164,99.7784",2004,68.1,98.724552,8.2544763,606.1017,70.955393
"Prov. Sumatera Utara",1273,"Kota Pematang Siantar","2.9676,99.0514",2004,71.021603,99.198718,10.600962,619.00743,75.416169
"Prov. Sumatera Utara",1274,"Kota Tebing Tinggi","3.33108,99.1414",2004,70.1,98.308783,9.4528096,620.63672,73.981429
"Prov. Sumatera Utara",1275,"Kota Medan","3.6686,98.6712",2004,69.9,98.986058,10.6,618.58527,74.712566
"Prov. Sumatera Utara",1276,"Kota Binjai","3.61904,98.4846",2004,70.1,98.000702,9.5053999,620.84706,73.968125
"Prov. Sumatera Utara",1277,"Kota Padangsidimpuan","1.30299,99.2289",2004,68.1,99.275248,9.5876792,613.45546,72.631804
"Prov. Sumatera Utara",1278,"Kota Gunungsitoli","1.26105,97.5949",2004,,,,,
"Prov. Sumatera Barat",1301,"Kab. Kepulauan Mentawai","-1.34643,98.9409",2004,68,92.241463,6.5246133,589.85944,66.926596
"Prov. Sumatera Barat",1302,"Kab. Pesisir Selatan","-1.74602,100.844",2004,64.9,91.63489,7.3,610.72391,67.251174
"Prov. Sumatera Barat",1303,"Kab. Solok","-0.933584,100.83",2004,64.1,96.694714,7.2314283,607.11193,67.602103
"Prov. Sumatera Barat",1304,"Kab. Sijunjung","-0.650064,101.147",2004,64.4,87.7,6.9717274,610.72569,65.855949
"Prov. Sumatera Barat",1305,"Kab. Tanah Datar","-0.470079,100.582",2004,68.7,96.131359,7.61375,614.19499,70.861292
"Prov. Sumatera Barat",1306,"Kab. Padang Pariaman","-0.59275,100.257",2004,65.7,93.9,6.7,613.77137,67.989284
"Prov. Sumatera Barat",1307,"Kab. Agam","-0.266132,100.15",2004,67.7,96.160965,7.9,613.21596,70.448936
"Prov. Sumatera Barat",1308,"Kab. Lima Puluh Kota","-0.000848,100.563",2004,66.1,97.803809,7.229341,595.81188,68.087666
"Prov. Sumatera Barat",1309,"Kab. Pasaman","0.39956,100.083",2004,64.6,95.845766,6.9896764,612.54916,67.930991
"Prov. Sumatera Barat",1310,"Kab. Solok Selatan","-1.35893,101.276",2004,62.5,94.3,7,594.5,65.038103
"Prov. Sumatera Barat",1311,"Kab. Dharmas Raya","-1.00085,101.342",2004,63.3,87.5,6.65,594.45,63.708326
"Prov. Sumatera Barat",1312,"Kab. Pasaman Barat","0.186779,99.5962",2004,63.35,95.1,7.1,599.45,66.143486
"Prov. Sumatera Barat",1371,"Kota Padang","-1.00273,100.451",2004,69.4,99.223602,10.703804,634.86863,75.81881
"Prov. Sumatera Barat",1372,"Kota Solok","-0.759189,100.599",2004,67.8,98.542945,9.6579755,619.79978,72.84319
"Prov. Sumatera Barat",1373,"Kota Sawah Lunto","-0.677574,100.788",2004,70.6,97.011611,8.6224517,615.50196,72.960325
"Prov. Sumatera Barat",1374,"Kota Padang Panjang","-0.453913,100.423",2004,69.6,99.057114,10.141501,639.17194,75.807895
"Prov. Sumatera Barat",1375,"Kota Bukittinggi","-0.271348,100.372",2004,70.6,98.812849,9.8756983,634.17004,75.726972
"Prov. Sumatera Barat",1376,"Kota Payakumbuh","-0.239505,100.641",2004,69.8,98.446824,8.7524703,620.22016,73.29458
"Prov. Sumatera Barat",1377,"Kota Pariaman","-0.626203,100.145",2004,67.1,96.360531,8.4971664,614.74137,70.719802
"Prov. Riau",1401,"Kab. Kuantan Singingi","-0.491978,101.47",2004,67.5,97.841475,7.7002765,613.93104,70.618413
"Prov. Riau",1402,"Kab. Indragiri Hulu","-0.522681,102.243",2004,67.8,92.356714,7.1356416,610.87948,68.912927
"Prov. Riau",1403,"Kab. Indragiri Hilir","-0.287854,103.183",2004,69.9,98.508788,6.9225955,611.90005,71.367526
"Prov. Riau",1404,"Kab. Pelalawan","0.124485,102.427",2004,67.2,93.649211,7.0385617,610.27531,68.748364
"Prov. Riau",1405,"Kab. Siak","0.761717,101.846",2004,70.6,94.132983,8.8,617.62123,72.615399
"Prov. Riau",1406,"Kab. Kampar","0.27116,101.089",2004,67.3,97.556355,7.592311,606.75343,69.81106
"Prov. Riau",1407,"Kab. Rokan Hulu","0.821098,100.506",2004,66.2,96.409113,7.1008658,618.66984,69.49892
"Prov. Riau",1408,"Kab. Bengkalis","1.24641,101.523",2004,69.4,97.02418,8.3516582,613.55163,71.945626
"Prov. Riau",1409,"Kab. Rokan Hilir","1.86948,100.838",2004,66.2,88.797756,7,616.61265,67.574322
"Prov. Riau",1410,"Kab. Kepulauan Meranti","0.907379,102.726",2004,,,,,
"Prov. Riau",1471,"Kota Pekanbaru","0.557415,101.462",2004,70.5,99.528524,11.1,619.63617,75.617771
"Prov. Riau",1473,"Kota Dumai","1.74798,101.264",2004,70.1,99.053476,9.7,612.78577,73.725244
"Prov. Jambi",1501,"Kab. Kerinci","-2.06012,101.478",2004,69.9,95.834693,7.5966277,614.19308,71.449203
"Prov. Jambi",1502,"Kab. Merangin","-2.20381,102.056",2004,66.9,96.884388,6.9,611.83138,69.317855
"Prov. Jambi",1503,"Kab. Sarolangun","-2.33009,102.649",2004,68,93.655076,6.462578,616.83893,69.273067
"Prov. Jambi",1504,"Kab. Batang Hari","-1.85729,103.015",2004,67.7,97.027055,7.4147244,620.8646,70.871128
"Prov. Jambi",1505,"Kab. Muaro Jambi","-1.64549,103.746",2004,68.2,93.856108,6.9725157,615.62967,69.713431
"Prov. Jambi",1506,"Kab. Tanjung Jabung Timur","-1.30035,103.98",2004,68.5,92.412024,6.2,611.90482,68.700024
"Prov. Jambi",1507,"Kab. Tanjung Jabung Barat","-1.12062,103.142",2004,68.8,97.878638,7.406841,602.461,70.247972
"Prov. Jambi",1508,"Kab. Tebo","-1.39386,102.317",2004,67.3,94.861086,6.4881214,613.33043,68.900834
"Prov. Jambi",1509,"Kab. Bungo","-1.50943,101.958",2004,64.9,95.594351,7.372807,608.97024,68.049896
"Prov. Jambi",1571,"Kota Jambi","-1.62225,103.641",2004,69,97.393521,9.9,620.02422,73.450996
"Prov. Jambi",1572,"Kota Sungai Penuh","-2.09008,101.339",2004,,,,,
"Prov. Sumatera Selatan",1601,"Kab. Ogan Komering Ulu","-4.01787,104.146",2004,68,94.792058,6.9013414,610.16745,69.336821
"Prov. Sumatera Selatan",1602,"Kab. Ogan Komering Ilir","-3.32657,105.198",2004,66,94.309763,6.5618959,612.7881,68.068967
"Prov. Sumatera Selatan",1603,"Kab. Muara Enim","-3.71069,104.044",2004,65.8,98.793847,7.1855979,595.47487,68.082646
"Prov. Sumatera Selatan",1604,"Kab. Lahat","-3.8887,103.196",2004,66.3,95.708227,7.0478927,590.18861,67.165514
"Prov. Sumatera Selatan",1605,"Kab. Musi Rawas","-2.95853,102.861",2004,62.6,94.759354,6.7,586.69535,64.372306
"Prov. Sumatera Selatan",1606,"Kab. Musi Banyuasin","-2.44468,104.293",2004,67.9,95.679841,6.6903574,594.51154,68.116259
"Prov. Sumatera Selatan",1607,"Kab. Banyu Asin","-2.41036,104.787",2004,66.1,93.386314,6.9537424,593.61154,66.732357
"Prov. Sumatera Selatan",1608,"Kab. Ogan Komering Ulu Selatan","-4.56882,103.97",2004,68,93.5,6.7,597.8,67.947865
"Prov. Sumatera Selatan",1609,"Kab. Ogan Komering Ulu Timur","-4.08204,104.568",2004,67.8,90.9,6.3,573,65.052283
"Prov. Sumatera Selatan",1610,"Kab. Ogan Ilir","-3.42967,104.575",2004,64.4,93.8,6.45,594.65,65.586695
"Prov. Sumatera Selatan",1611,"Kab. Empat Lawang","-3.72128,102.917",2004,,,,,
"Prov. Sumatera Selatan",1671,"Kota Palembang","-3.0036,104.728",2004,69.5,97.446373,9.4568174,616.45948,73.137636
"Prov. Sumatera Selatan",1672,"Kota Prabumulih","-3.49761,104.22",2004,69.5,97.489469,8.2514575,596.77487,70.738007
"Prov. Sumatera Selatan",1673,"Kota Pagar Alam","-4.14946,103.34",2004,68.7,96.887881,7.9443528,591.18861,69.502069
"Prov. Sumatera Selatan",1674,"Kota Lubuklinggau","-3.25947,102.821",2004,64.1,94.340086,7.612215,587.09535,65.818997
"Prov. Bengkulu",1701,"Kab. Bengkulu Selatan","-4.31242,103.031",2004,66.5,94.022349,7.4485707,611.76215,68.86064
"Prov. Bengkulu",1702,"Kab. Rejang Lebong","-3.44252,102.687",2004,64.4,94.461039,7.1914787,606.91742,67.227821
"Prov. Bengkulu",1703,"Kab. Bengkulu Utara","-3.0694,101.834",2004,67.8,91.146946,6.9785891,614.13054,68.778191
"Prov. Bengkulu",1704,"Kab. Kaur","-4.59173,103.427",2004,65.35,93.75,7.4,595.6,66.880246
"Prov. Bengkulu",1705,"Kab. Seluma","-4.07019,102.72",2004,63.05,93.25,7.3,563.05,62.909888
"Prov. Bengkulu",1706,"Kab. Mukomuko","-2.73128,101.448",2004,66.85,90.15,6.75,597.55,66.58231
"Prov. Bengkulu",1707,"Kab. Lebong","-3.05177,102.219",2004,63.5,93.75,7,597.75,65.721791
"Prov. Bengkulu",1708,"Kab. Kepahiang","-3.64761,102.658",2004,61.7,92.25,6.6,579.45,62.682474
"Prov. Bengkulu",1709,"Kab. Bengkulu Tengah","-3.67487,102.424",2004,,,,,
"Prov. Bengkulu",1771,"Kota Bengkulu","-3.85375,102.297",2004,69.6,98.986256,10.601911,636.19893,75.904176
"Prov. Lampung",1801,"Kab. Lampung Barat","-5.36361,104.125",2004,65.2,94.033461,6.9437064,585.61924,65.75307
"Prov. Lampung",1802,"Kab. Tanggamus","-5.51669,104.76",2004,67.1,91.207473,6.5279777,604.66782,67.340033
"Prov. Lampung",1803,"Kab. Lampung Selatan","-5.51469,105.379",2004,66.6,93.040286,6.5159997,592.58618,66.53
"Prov. Lampung",1804,"Kab. Lampung Timur","-5.11625,105.586",2004,69.3,90.925044,6.2611157,595.26488,67.57749
"Prov. Lampung",1805,"Kab. Lampung Tengah","-4.86672,105.176",2004,67.8,91.160405,7,606.02086,68.172336
"Prov. Lampung",1806,"Kab. Lampung Utara","-4.83168,104.814",2004,66.7,94.853145,7.2115708,593.60917,67.582454
"Prov. Lampung",1807,"Kab. Way Kanan","-4.57554,104.648",2004,67.8,94.063647,6.2809058,584.29594,66.611322
"Prov. Lampung",1808,"Kab. Tulangbawang","-4.54332,105.097",2004,66.4,93.236352,6.556561,601.73879,67.19755
"Prov. Lampung",1809,"Kab. Pesawaran","-5.4532,105.098",2004,,,,,
"Prov. Lampung",1810,"Kab. Pringsewu","-5.36191,104.927",2004,,,,,
"Prov. Lampung",1811,"Kab. Mesuji","-4.03268,105.413",2004,,,,,
"Prov. Lampung",1812,"Kab. Tulangbawang Barat","-4.27498,105.423",2004,,,,,
"Prov. Lampung",1871,"Kota Bandar Lampung","-5.42396,105.251",2004,68.6,97.367227,9.4439401,620.65106,72.933396
"Prov. Lampung",1872,"Kota Metro","-5.11165,105.309",2004,71.8,96.377818,9.3843359,618.12497,74.252563
"Prov. Kepulauan Bangka Belitung",1901,"Kab. Bangka","-1.93481,105.952",2004,66.7,92.169022,5.8921312,632.67558,69.017988
"Prov. Kepulauan Bangka Belitung",1902,"Kab. Belitung","-2.88028,107.753",2004,68.2,95.074817,6.8098197,620.0186,70.201828
"Prov. Kepulauan Bangka Belitung",1903,"Kab. Bangka Barat","-1.83743,105.451",2004,66.5,91,5.9,610.55,66.948543
"Prov. Kepulauan Bangka Belitung",1904,"Kab. Bangka Tengah","-2.49897,106.335",2004,66.6,91.1,6,610.65,67.108098
"Prov. Kepulauan Bangka Belitung",1905,"Kab. Bangka Selatan","-2.79221,106.319",2004,66.1,88.6,5.8,566.25,62.706391
"Prov. Kepulauan Bangka Belitung",1906,"Kab. Belitung Timur","-2.8935,107.874",2004,67.5,94.75,6.85,602.1,68.390214
"Prov. Kepulauan Bangka Belitung",1971,"Kota Pangkal Pinang","-2.22588,106.128",2004,69.7,97.155605,8.8,629.03174,73.666068
"Prov. Kepulauan Riau",2101,"Kab. Karimun","0.768402,103.426",2004,69.2,94.960518,7.8331221,614.11848,71.035487
"Prov. Kepulauan Riau",2102,"Kab. Bintan","1.01851,104.574",2004,69,92.259094,7.0537618,613.88355,69.728659
"Prov. Kepulauan Riau",2103,"Kab. Natuna","3.93073,108.188",2004,67,95.331886,6.6684376,596.251,67.656693
"Prov. Kepulauan Riau",2104,"Kab. Lingga","-0.155833,104.713",2004,68.9,90.3,7,605,67.656693
"Prov. Kepulauan Riau",2105,"Kab. Kepulauan Anambas","2.93874,105.76",2004,,,,,
"Prov. Kepulauan Riau",2171,"Kota Batam","1.08657,104.023",2004,70.1,98.4,10.4,634.2,75.8
"Prov. Kepulauan Riau",2172,"Kota Tanjung Pinang","1.04902,104.49",2004,68.8,96.684544,9.1282301,614.68355,72.19925
"Prov. DKI Jakarta",3101,"Kab. Kepulauan Seribu","-5.77769,106.504",2004,69.3,96.442915,6.8439472,569.16793,67.225107
"Prov. DKI Jakarta",3171,"Kab. Kodya Jakarta Selatan","-6.28461,106.794",2004,72.1,97.86002,10.8,639.51806,77.445203
"Prov. DKI Jakarta",3172,"Kab. Kodya Jakarta Timur","-6.26223,106.907",2004,72.5,98.804003,10.9,616.48428,76.176932
"Prov. DKI Jakarta",3173,"Kab. Kodya Jakarta Pusat","-6.18367,106.836",2004,71,98.700306,10.4,615.421,74.868278
"Prov. DKI Jakarta",3174,"Kab. Kodya Jakarta Barat","-6.15971,106.755",2004,72.6,98.022091,10.7,613.56135,75.685423
"Prov. DKI Jakarta",3175,"Kab. Kodya Jakarta Utara","-6.1354,106.841",2004,72.2,98.246896,9.6691015,617.59562,75.060297
"Prov. Jawa Barat",3201,"Kab. Bogor","-6.54412,107.002",2004,66.4,92.997858,6.5044432,617.21511,68.298119
"Prov. Jawa Barat",3202,"Kab. Sukabumi","-7.07493,106.717",2004,65.6,95.954604,6.1334046,613.00133,67.911289
"Prov. Jawa Barat",3203,"Kab. Cianjur","-7.05156,107.126",2004,64.3,96.510466,5.9828567,598.32796,66.070754
"Prov. Jawa Barat",3204,"Kab. Bandung","-7.07311,107.592",2004,67.9,97.760836,7.9942676,609.57827,70.705183
"Prov. Jawa Barat",3205,"Kab. Garut","-7.3425,107.778",2004,63.3,97.699525,6.692266,610.64794,67.253956
"Prov. Jawa Barat",3206,"Kab. Tasikmalaya","-7.42885,108.164",2004,66.6,97.897897,6.5742963,611.78367,69.131475
"Prov. Jawa Barat",3207,"Kab. Ciamis","-7.4369,108.486",2004,65.1,95.673552,6.4993743,611.95089,67.761226
"Prov. Jawa Barat",3208,"Kab. Kuningan","-6.98826,108.591",2004,66.4,91.875059,6.2744619,614.95298,67.703995
"Prov. Jawa Barat",3209,"Kab. Cirebon","-6.75547,108.576",2004,63.9,87.729027,5.9435117,614.75995,65.133748
"Prov. Jawa Barat",3210,"Kab. Majalengka","-6.81747,108.228",2004,64.4,90.413803,6.0081123,615.00666,66.074999
"Prov. Jawa Barat",3211,"Kab. Sumedang","-6.81018,107.979",2004,66.7,96.2,7.1,618.8394,69.742648
"Prov. Jawa Barat",3212,"Kab. Indramayu","-6.44806,108.198",2004,64.6,74.473999,4.7853133,617.93909,61.964046
"Prov. Jawa Barat",3213,"Kab. Subang","-6.4939,107.726",2004,68.1,86.447866,5.9670402,616.33595,67.32121
"Prov. Jawa Barat",3214,"Kab. Purwakarta","-6.58964,107.431",2004,65.3,93.624937,6.8181337,612.80655,67.719121
"Prov. Jawa Barat",3215,"Kab. Karawang","-6.28699,107.364",2004,64.9,86.029765,6.4,614.00343,65.591552
"Prov. Jawa Barat",3216,"Kab. Bekasi","-6.20242,107.135",2004,67.6,92,7.8667588,615.65471,69.631961
"Prov. Jawa Barat",3217,"Kab. Bandung Barat","-6.90356,107.464",2004,,,,,
"Prov. Jawa Barat",3271,"Kota Bogor","-6.59621,106.794",2004,68.2,98.513216,9.2544053,635.78912,73.991558
"Prov. Jawa Barat",3272,"Kota Sukabumi","-6.94092,106.906",2004,67.6,99.030574,8.8120805,614.6969,71.820767
"Prov. Jawa Barat",3273,"Kota Bandung","-6.90992,107.647",2004,69,99.01095,9.9678559,619.97873,73.857184
"Prov. Jawa Barat",3274,"Kota Cirebon","-6.74773,108.555",2004,67.9,96.894848,9.067043,635.06527,73.270707
"Prov. Jawa Barat",3275,"Kota Bekasi","-6.28521,106.973",2004,68.8,97.712333,9.9707421,630.22406,74.248849
"Prov. Jawa Barat",3276,"Kota Depok","-6.39243,106.825",2004,72.3,97.159872,9.9528172,639.27809,76.754698
"Prov. Jawa Barat",3277,"Kota Cimahi","-6.88191,107.549",2004,68.1,99.578281,9.4728519,610.37827,72.377044
"Prov. Jawa Barat",3278,"Kota Tasikmalaya","-7.36021,108.218",2004,67.8,98.795181,8.3953434,614.00666,71.517704
"Prov. Jawa Barat",3279,"Kota Banjar","-7.36996,108.559",2004,64.7,95.635085,7.6741021,611.95089,68.400625
"Prov. Jawa Tengah",3301,"Kab. Cilacap","-7.4436,108.815",2004,69,89.95406,6.4190029,614.91447,68.825651
"Prov. Jawa Tengah",3302,"Kab. Banyumas","-7.45231,109.168",2004,69.2,92.789653,6.8942092,619.63716,70.282698
"Prov. Jawa Tengah",3303,"Kab. Purbalingga","-7.32767,109.409",2004,68.3,92.33507,5.8920582,616.00583,68.659616
"Prov. Jawa Tengah",3304,"Kab. Banjarnegara","-7.35284,109.639",2004,68.1,85.012236,5.7016386,617.89019,66.925313
"Prov. Jawa Tengah",3305,"Kab. Kebumen","-7.63749,109.611",2004,68.4,88.903735,6.4354926,611.76892,68.028818
"Prov. Jawa Tengah",3306,"Kab. Purworejo","-7.70103,109.969",2004,68.7,86.472932,6.8575729,620.95474,68.675562
"Prov. Jawa Tengah",3307,"Kab. Wonosobo","-7.39755,109.903",2004,68.7,85.129101,5.6256607,613.83286,66.915792
"Prov. Jawa Tengah",3308,"Kab. Magelang","-7.51056,110.247",2004,69.4,89.444812,6.6071625,615.58167,69.125481
"Prov. Jawa Tengah",3309,"Kab. Boyolali","-7.38235,110.709",2004,69.9,84.224882,6.876838,616.73234,68.531673
"Prov. Jawa Tengah",3310,"Kab. Klaten","-7.67597,110.609",2004,70.5,85.026095,7.5072782,635.95408,70.990737
"Prov. Jawa Tengah",3311,"Kab. Sukoharjo","-7.68287,110.831",2004,69.6,86.429565,7.6704095,633.22863,70.71351
"Prov. Jawa Tengah",3312,"Kab. Wonogiri","-7.96073,111.035",2004,71.6,78.476424,5.8560543,629.60328,68.434021
"Prov. Jawa Tengah",3313,"Kab. Karanganyar","-7.61315,110.984",2004,71.8,81.099295,6.8928214,636.87734,70.456304
"Prov. Jawa Tengah",3314,"Kab. Sragen","-7.39103,110.962",2004,71.6,72.619007,5.7587378,617.72501,66.145279
"Prov. Jawa Tengah",3315,"Kab. Grobogan","-7.10693,110.894",2004,68.3,86.608463,6.1043605,612.98502,67.311598
"Prov. Jawa Tengah",3316,"Kab. Blora","-7.11381,111.361",2004,70.5,81.235653,5.7054375,606.11625,66.515248
"Prov. Jawa Tengah",3317,"Kab. Rembang","-6.76817,111.464",2004,69,87.445952,5.8165122,611.34273,67.546866
"Prov. Jawa Tengah",3318,"Kab. Pati","-6.70743,111.034",2004,72.5,83.782042,6.2394876,632.3613,70.609528
"Prov. Jawa Tengah",3319,"Kab. Kudus","-6.79816,110.87",2004,69,88.924578,7.065847,618.99663,69.390479
"Prov. Jawa Tengah",3320,"Kab. Jepara","-6.60681,110.789",2004,70.1,86.461946,6.747714,617.14732,69.076228
"Prov. Jawa Tengah",3321,"Kab. Demak","-6.92854,110.637",2004,69.4,89.027969,6.5046985,615.96016,68.986106
"Prov. Jawa Tengah",3322,"Kab. Semarang","-7.28739,110.456",2004,72,90.559659,6.8253579,620.7733,71.379217
"Prov. Jawa Tengah",3323,"Kab. Temanggung","-7.24573,110.137",2004,71.9,92.364753,6.3854218,620.23188,71.357208
"Prov. Jawa Tengah",3324,"Kab. Kendal","-7.02297,110.142",2004,66.3,88.054837,6.4095457,620.04171,67.291558
"Prov. Jawa Tengah",3325,"Kab. Batang","-7.03709,109.88",2004,69,84.267261,5.6089368,614.81204,66.953978
"Prov. Jawa Tengah",3326,"Kab. Pekalongan","-7.04079,109.657",2004,67.5,85.666455,5.8555098,627.52579,67.593591
"Prov. Jawa Tengah",3327,"Kab. Pemalang","-7.00981,109.392",2004,66,84.819966,5.569881,617.02997,65.552057
"Prov. Jawa Tengah",3328,"Kab. Tegal","-7.04973,109.157",2004,66.9,85.912745,5.9523224,619.45607,66.765074
"Prov. Jawa Tengah",3329,"Kab. Brebes","-7.04457,108.945",2004,65.5,79.431104,4.8350485,614.86631,63.365762
"Prov. Jawa Tengah",3371,"Kota Magelang","-7.4917,110.226",2004,69.6,94.348602,9.8,638.85194,74.483946
"Prov. Jawa Tengah",3372,"Kota Surakarta","-7.55914,110.824",2004,71.6,95.59979,9.7375589,638.22495,75.778548
"Prov. Jawa Tengah",3373,"Kota Salatiga","-7.34305,110.5",2004,70.2,95.112728,9.2382991,636.99085,74.427646
